NIFTY 200 SYMBOLS LIST
=====================
Generated: 2025-10-25 22:58:29
Total Symbols: 200

ALL SYMBOLS:
============
  1. RELIANCE             NSE:RELIANCE-EQ
117. BALRAMCHIN           NSE:BALRAMCHIN-EQ
118. CHAMBLFERT           NSE:CHAMBLFERT-EQ
119. COROMANDEL           NSE:COROMANDEL-EQ
120. GNFC                 NSE:GNFC-EQ
121. GSFC                 NSE:GSFC-EQ
122. NFL                  NSE:NFL-EQ
123. RCF                  NSE:RCF-EQ
124. SRF                  NSE:SRF-EQ
125. TATACHEMICALS        NSE:TATACHEMICALS-EQ
126. AJANTA               NSE:AJANTA-EQ
127. APLAPOLLO            NSE:APLAPOLLO-EQ
128. AAVAS                NSE:AAVAS-EQ
129. ABCAPITAL            NSE:ABCAPITAL-EQ
130. ABFRL                NSE:ABFRL-EQ
131. ADANIGAS             NSE:ADANIGAS-EQ
132. AIAENG               NSE:AIAENG-EQ
133. AJANTPHARM           NSE:AJANTPHARM-EQ
134. AKZOINDIA            NSE:AKZOINDIA-EQ
135. ALKYLAMINE           NSE:ALKYLAMINE-EQ
136. ALLCARGO             NSE:ALLCARGO-EQ
137. AMARAJABAT           NSE:AMARAJABAT-EQ
138. APLLTD               NSE:APLLTD-EQ
139. ARVINDFASN           NSE:ARVINDFASN-EQ
140. ASAHIINDIA           NSE:ASAHIINDIA-EQ
141. ASTRAL               NSE:ASTRAL-EQ
142. ATUL                 NSE:ATUL-EQ
143. AVANTIFEED           NSE:AVANTIFEED-EQ
144. BAJAJCON             NSE:BAJAJCON-EQ
145. BEML                 NSE:BEML-EQ
146. BHARATFORG           NSE:BHARATFORG-EQ
147. BIRLACORPN           NSE:BIRLACORPN-EQ
148. BLUEDART             NSE:BLUEDART-EQ
149. BSOFT                NSE:BSOFT-EQ
150. CAPLIPOINT           NSE:CAPLIPOINT-EQ
151. CARBORUNIV           NSE:CARBORUNIV-EQ
152. CASTROLIND           NSE:CASTROLIND-EQ
153. CCL                  NSE:CCL-EQ
154. CERA                 NSE:CERA-EQ
155. CHEMCON              NSE:CHEMCON-EQ
156. CHEMPLASTS           NSE:CHEMPLASTS-EQ
157. CHENNPETRO           NSE:CHENNPETRO-EQ
158. CHOLAHLDNG           NSE:CHOLAHLDNG-EQ
159. CUB                  NSE:CUB-EQ
160. CYIENT               NSE:CYIENT-EQ
161. DBREALTY             NSE:DBREALTY-EQ
162. DEEPAKFERT           NSE:DEEPAKFERT-EQ
163. DEEPAKNTR            NSE:DEEPAKNTR-EQ
164. DHANUKA              NSE:DHANUKA-EQ
165. DIXON                NSE:DIXON-EQ
166. DMART                NSE:DMART-EQ
167. EDELWEISS            NSE:EDELWEISS-EQ
168. EMAMILTD             NSE:EMAMILTD-EQ
169. ENDURANCE            NSE:ENDURANCE-EQ
170. ENGINERSIN           NSE:ENGINERSIN-EQ
171. EQUITAS              NSE:EQUITAS-EQ
172. ERIS                 NSE:ERIS-EQ
173. ESABINDIA            NSE:ESABINDIA-EQ
174. EXIDEIND             NSE:EXIDEIND-EQ
175. FDC                  NSE:FDC-EQ
176. FINEORG              NSE:FINEORG-EQ
177. FINCABLES            NSE:FINCABLES-EQ
178. FORCEMOT             NSE:FORCEMOT-EQ
179. FORTIS               NSE:FORTIS-EQ
180. GESHIP               NSE:GESHIP-EQ
181. GILLETTE             NSE:GILLETTE-EQ
182. GLAXO                NSE:GLAXO-EQ
183. GLENMARK             NSE:GLENMARK-EQ
184. GMRINFRA             NSE:GMRINFRA-EQ
185. GODFRYPHLP           NSE:GODFRYPHLP-EQ
186. GRANULES             NSE:GRANULES-EQ
187. GRAPHITE             NSE:GRAPHITE-EQ
188. GREAVESCOT           NSE:GREAVESCOT-EQ
189. GRINDWELL            NSE:GRINDWELL-EQ
190. GTLINFRA             NSE:GTLINFRA-EQ
191. GUJALKALI            NSE:GUJALKALI-EQ
192. GUJGASLTD            NSE:GUJGASLTD-EQ
193. GULFOILLUB           NSE:GULFOILLUB-EQ
194. HAL                  NSE:HAL-EQ
195. HAPPSTMNDS           NSE:HAPPSTMNDS-EQ
196. HATSUN               NSE:HATSUN-EQ
197. HEIDELBERG           NSE:HEIDELBERG-EQ
198. HEXAWARE             NSE:HEXAWARE-EQ
199. HFCL                 NSE:HFCL-EQ
200. HIMATSEIDE           NSE:HIMATSEIDE-EQ


Fyers API Format (comma-separated):
===================================
NSE:RELIANCE-EQ,NSE:TCS-EQ,NSE:HDFCBANK-EQ,NSE:ICICIBANK-EQ,NSE:HINDUNILVR-EQ,
NSE:INFY-EQ,NSE:ITC-EQ,NSE:SBIN-EQ,NSE:BHARTIARTL-EQ,NSE:KOTAKBANK-EQ,NSE:LT-EQ,
NSE:AXISBANK-EQ,NSE:ASIANPAINT-EQ,NSE:MARUTI-EQ,NSE:SUNPHARMA-EQ,NSE:TITAN-EQ,
NSE:BAJFINANCE-EQ,NSE:HCLTECH-EQ,NSE:ULTRACEMCO-EQ,NSE:WIPRO-EQ,NSE:NESTLEIND-EQ,
NSE:NTPC-EQ,NSE:POWERGRID-EQ,NSE:TATAMOTORS-EQ,NSE:ADANIENT-EQ,NSE:BAJAJFINSV-EQ,
NSE:ONGC-EQ,NSE:COALINDIA-EQ,NSE:TATASTEEL-EQ,NSE:DIVISLAB-EQ,NSE:TECHM-EQ,
NSE:HINDALCO-EQ,NSE:DRREDDY-EQ,NSE:CIPLA-EQ,NSE:INDUSINDBK-EQ,NSE:JSWSTEEL-EQ,
NSE:GRASIM-EQ,NSE:BRITANNIA-EQ,NSE:M&M-EQ,NSE:EICHERMOT-EQ,NSE:BAJAJ-AUTO-EQ,
NSE:BPCL-EQ,NSE:ADANIPORTS-EQ,NSE:IOC-EQ,NSE:APOLLOHOSP-EQ,NSE:SHRIRAMFIN-EQ,
NSE:LTIM-EQ,NSE:HEROMOTOCO-EQ,NSE:SBILIFE-EQ,NSE:PIDILITIND-EQ,NSE:TATACONSUM-EQ,
NSE:GODREJCP-EQ,NSE:UPL-EQ,NSE:HDFCLIFE-EQ,NSE:ICICIPRULI-EQ,NSE:VEDL-EQ,
NSE:TRENT-EQ,NSE:DABUR-EQ,NSE:JINDALSTL-EQ,NSE:GAIL-EQ,NSE:LICI-EQ,
NSE:BAJAJHLDNG-EQ,NSE:BANKBARODA-EQ,NSE:SIEMENS-EQ,NSE:ABB-EQ,NSE:MARICO-EQ,
NSE:NAUKRI-EQ,NSE:TORNTPHARM-EQ,NSE:MUTHOOTFIN-EQ,NSE:BERGEPAINT-EQ,
NSE:JINDALSTEL-EQ,NSE:CHOLAFIN-EQ,NSE:AMBUJACEM-EQ,NSE:LUPIN-EQ,NSE:SAIL-EQ,
NSE:BOSCHLTD-EQ,NSE:MOTHERSON-EQ,NSE:HAVELLS-EQ,NSE:PNB-EQ,NSE:CUMMINSIND-EQ,
NSE:MCDOWELL-N-EQ,NSE:COLPAL-EQ,NSE:CANFINHOME-EQ,NSE:INDIGO-EQ,NSE:ESCORTS-EQ,
NSE:BATAINDIA-EQ,NSE:AUBANK-EQ,NSE:HINDZINC-EQ,NSE:BANDHANBNK-EQ,NSE:VOLTAS-EQ,
NSE:DALBHARAT-EQ,NSE:POLYCAB-EQ,NSE:BEL-EQ,NSE:IDFCFIRSTB-EQ,NSE:BIOCON-EQ,
NSE:RBLBANK-EQ,NSE:OFSS-EQ,NSE:ZYDUSLIFE-EQ,NSE:CONCOR-EQ,NSE:PAGEIND-EQ,
NSE:ZEEL-EQ,NSE:PVR-EQ,NSE:INOXLEISUR-EQ,NSE:ADANIGREEN-EQ,NSE:ADANIPOWER-EQ,
NSE:ADANITRANS-EQ,NSE:JINDALSTEL-EQ,NSE:RPOWER-EQ,NSE:TORNTPOWER-EQ,NSE:BHEL-EQ,
NSE:CROMPTON-EQ,NSE:WHIRLPOOL-EQ,NSE:JKCEMENT-EQ,NSE:INDIACEM-EQ,NSE:ORIENT-EQ,
NSE:JKPAPER-EQ,NSE:BALRAMCHIN-EQ,NSE:CHAMBLFERT-EQ,NSE:COROMANDEL-EQ,NSE:GNFC-EQ,
NSE:GSFC-EQ,NSE:NFL-EQ,NSE:RCF-EQ,NSE:SRF-EQ,NSE:TATACHEMICALS-EQ,NSE:AJANTA-EQ,
NSE:APLAPOLLO-EQ,NSE:AAVAS-EQ,NSE:ABCAPITAL-EQ,NSE:ABFRL-EQ,NSE:ADANIGAS-EQ,
NSE:AIAENG-EQ,NSE:AJANTPHARM-EQ,NSE:AKZOINDIA-EQ,NSE:ALKYLAMINE-EQ,
NSE:ALLCARGO-EQ,NSE:AMARAJABAT-EQ,NSE:APLLTD-EQ,NSE:ARVINDFASN-EQ,
NSE:ASAHIINDIA-EQ,NSE:ASTRAL-EQ,NSE:ATUL-EQ,NSE:AVANTIFEED-EQ,NSE:BAJAJCON-EQ,
NSE:BEML-EQ,NSE:BHARATFORG-EQ,NSE:BIRLACORPN-EQ,NSE:BLUEDART-EQ,NSE:BSOFT-EQ,
NSE:CAPLIPOINT-EQ,NSE:CARBORUNIV-EQ,NSE:CASTROLIND-EQ,NSE:CCL-EQ,NSE:CERA-EQ,
NSE:CHEMCON-EQ,NSE:CHEMPLASTS-EQ,NSE:CHENNPETRO-EQ,NSE:CHOLAHLDNG-EQ,NSE:CUB-EQ,
NSE:CYIENT-EQ,NSE:DBREALTY-EQ,NSE:DEEPAKFERT-EQ,NSE:DEEPAKNTR-EQ,NSE:DHANUKA-EQ,
NSE:DIXON-EQ,NSE:DMART-EQ,NSE:EDELWEISS-EQ,NSE:EMAMILTD-EQ,NSE:ENDURANCE-EQ,
NSE:ENGINERSIN-EQ,NSE:EQUITAS-EQ,NSE:ERIS-EQ,NSE:ESABINDIA-EQ,NSE:EXIDEIND-EQ,
NSE:FDC-EQ,NSE:FINEORG-EQ,NSE:FINCABLES-EQ,NSE:FORCEMOT-EQ,NSE:FORTIS-EQ,
NSE:GESHIP-EQ,NSE:GILLETTE-EQ,NSE:GLAXO-EQ,NSE:GLENMARK-EQ,NSE:GMRINFRA-EQ,
NSE:GODFRYPHLP-EQ,NSE:GRANULES-EQ,NSE:GRAPHITE-EQ,NSE:GREAVESCOT-EQ,
NSE:GRINDWELL-EQ,NSE:GTLINFRA-EQ,NSE:GUJALKALI-EQ,NSE:GUJGASLTD-EQ,
NSE:GULFOILLUB-EQ,NSE:HAL-EQ,NSE:HAPPSTMNDS-EQ,NSE:HATSUN-EQ,NSE:HEIDELBERG-EQ,
NSE:HEXAWARE-EQ,NSE:HFCL-EQ,NSE:HIMATSEIDE-EQ
